hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
0,1,800202a3,特急,京王八王子〔高幡不動から各駅停車〕,３,00:01,2025-09-09T00:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-09T00:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-09T00:43:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-09T00:46:00+09:00""}]"
0,18,800202a4,特急,京王八王子〔高幡不動から各駅停車〕,３,00:18,2025-09-09T00:18:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-09T00:18:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-09T00:59:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-09T01:02:00+09:00""}]"
5,29,80020297,特急,京王八王子〔高幡不動から各駅停車〕,３,05:29,2025-09-08T05:29:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T05:29:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T06:10:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T06:13:00+09:00""}]"
5,47,800202d2,急行,京王八王子〔高幡不動から各駅停車〕,３,05:47,2025-09-08T05:47:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T05:47:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T06:32:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T06:34:00+09:00""}]"
6,8,800202cc,急行,京王八王子,３,06:08,2025-09-08T06:08:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T06:08:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T06:50:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T06:53:00+09:00""}]"
6,29,80020244,特急,京王八王子,３,06:29,2025-09-08T06:29:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T06:29:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T07:07:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T07:10:00+09:00""}]"
6,44,80020246,特急,京王八王子,３,06:44,2025-09-08T06:44:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T06:44:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T07:24:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T07:27:00+09:00""}]"
6,56,80020248,特急,京王八王子,３,06:56,2025-09-08T06:56:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T06:56:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T07:35:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T07:38:00+09:00""}]"
7,15,8002024a,特急,京王八王子,３,07:15,2025-09-08T07:15:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T07:15:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T07:57:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T08:00:00+09:00""}]"
7,21,800202cd,急行,京王八王子,３,07:21,2025-09-08T07:21:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T07:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T08:08:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T08:11:00+09:00""}]"
